Désignation,Fab,Ref fab,Qté,Pu,Pt
Insert Fileteté M3,RUTHEX,sans,4,"0,10 €","0,40 €"
VIS THC M3x6,BRICOVIS,TC HC M3x6ANEF,2,"0,06 €","0,12 €"
VIS STHC M3x10,BRICOVIS,STHC Pointeau M3X10ANEF,2,"0,08 €","0,17 €"
XT60 MALE,AMAZON,,1,"0,60 €","0,60 €"
XT60 FEM,AMAZON,,1,"0,60 €","0,60 €"
DPS3005,AMAZON,DOLLATEK,1,"45,00 €","45,00 €"
Tige Laiton diam 2mm,AMAZON,"2*98,62mm",2,"0,7","1,40 €"
Douille banane rouge diam 4mm,CONRAD,2535904,1,"0,7","0,70 €"
Douille banane noire diam 4,CONRAD,2535899,1,"0,7","0,70 €"
Connecteur audio,AMAZON,,1,"1,8","1,80 €"
,,,,TOTAL,"48,29 €"
