Désignation,Fab,Ref fab,Qté,Pu,Pt
Insert Fileté M3,RUTHEX,sans,4,"0,10 €","0,40 €"
Switch,ARCOLECTRIC,C1500AT,1,"2,70 €","2,70 €"
VIS THC M3x6,BRICOVIS,TC HC M3x6ANEF,2,"0,06 €","0,12 €"
VIS STHC M3x10,BRICOVIS,STHC Pointeau M3X10ANEF,2,"0,08 €","0,17 €"
XT60 MALE,AMAZON,,1,"0,60 €","0,60 €"
XT60 FEM,AMAZON,,1,"0,60 €","0,60 €"
Tige Laiton diam 2mm,AMAZON,"2*98,62mm",2,"0,27","0,54 €"
Porte fusible,AMAZON,,1,"1,4","1,40 €"
ETOTEK Voltmetre Amperemetre,AMAZON/KETOTEK,KT-D132,1,25,"25,00 €"
,,,,TOTAL,"31,53 €"
