Désignation,Fab,Ref fab ou boutique,Qté,Pu,Pt
Insert Fileteté M3,RUTHEX,sans,10,"0,10 €","1,00 €"
Switch,AMAZON,Mikrotech KCD1-11,2,"0,43 €","0,86 €"
VIS THC M3x6,BRICOVIS,TC HC M3x6ANEF,8,"0,06 €","0,48 €"
VIS STHC M3x10,BRICOVIS,STHC Pointeau M3X10ANEF,2,"0,08 €","0,17 €"
XT60 MALE,AMAZON,,1,"0,60 €","0,60 €"
XT60 FEM,AMAZON,,1,"0,60 €","0,60 €"
CONV DCDC USB5V 3A,AMAZON,TECNOIOT XL4015,2,"3,25 €","6,49 €"
OLED 128X32,AMAZON,Frienda ,1,"3,22 €","3,22 €"
ARDUINO NANO,Aliexpress,,1,"3,49 €","3,49 €"
LM7805,AMAZON,,1,"0,40 €","0,40 €"
Prise USB,AMAZON,,2,"0,78 €","1,56 €"
INA219,Aliexpress,,2,"2,75 €","5,50 €"
LM35,AMAZON,ZHITING,2,"1,60 €","3,20 €"
Potar 10k,Aliexpress,PT15-10k,1,"0,64 €","0,64 €"
Condensateur 100nF,AMAZON,,2,"0,01 €","0,02 €"
"Plaque à trou2,54",Radiospares,"44x59mm 0,000942€mm2",1,"2,45 €","2,45 €"
Ventilateur 4cm,,,1,"7,00 €","7,00 €"
Tige Laiton diam 2mm,AMAZON,"2*68,62mm",2,"0,192","0,38 €"
,,,,TOTAL,"38,06 €"
