Désignation,Fab ou fournisseur,Ref fab,Qté,Pu,Pt
Insert Fileté M3,MUTHEX,sans,4,"0,10 €","0,40 €"
Switch,ARCOLECTRIC,C1500AT,1,"2,70 €","2,70 €"
Module VA,AMAZON,,1,"11,39 €","11,39 €"
Prise rapide,AMAZON,,2,"1,80 €","3,60 €"
Embase banane dim4 rouge,CONRAD,,2,"0,70 €","1,40 €"
Embase banane dim4 noire,CONRAD,,2,"0,70 €","1,40 €"
VIS THC M3x6,BRICOVIS,TC HC M3x6ANEF,4,"0,06 €","0,24 €"
VIS STHC M3x10,BRICOVIS,STHC Pointeau M3X10ANEF,2,"0,08 €","0,17 €"
XT60 MALE,AMAZON,,1,"0,60 €","0,60 €"
XT60 FEM,AMAZON,,1,"0,60 €","0,60 €"
Tige Laiton diam 2mm,AMAZON,"2*78,62mm",2,"0,22 €","0,44 €"
,,,,TOTAL,"22,94 €"
