Désignation,Fab,Ref fab,Qté,Pu,Pt
Insert Fileté M3,RUTHEX,sans,4,"0,10 €","0,40 €"
Switch,ARCOLECTRIC,C1500AT,1,"2,70 €","2,70 €"
VIS THC M3x6,BRICOVIS,TC HC M3x6ANEF,8,"0,06 €","0,48 €"
VIS STHC M3x10,BRICOVIS,STHC Pointeau M3X10ANEF,2,"0,08 €","0,17 €"
XT60 MALE,AMAZON,,1,"0,60 €","0,60 €"
XT60 FEM,AMAZON,,1,"0,60 €","0,60 €"
"Voltmètre bleu, vert, jaune",AMAZON,,3,"2,50 €","7,50 €"
Prise rapide audio,AMAZON,,2,"1,80 €","3,60 €"
"VIS THC M2,5x10",BRICOVIS,,6,"0,07 €","0,42 €"
Ecrou M3,BRICOVIS,,6,"0,03 €","0,18 €"
"ECROU M2,5",BRICOVIS,,6,"0,07 €","0,42 €"
Tige Laiton diam 2mm,AMAZON,"2*73,62mm 0,0028€/mm",2,"0,21 €","0,41 €"
,,,,TOTAL,"17,48 €"
